,System 1,System 2,System 3,System 4,System 5,System 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,M1 STA,DM1 STA,M2 STA,DM2 STA,M3 STA,DM3 STA,M4 STA,DM4 STA,M5 STA,DM5 STA,M6 STA,DM6 STA,LQR Value function,LQR Integral value function,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6
0,4.56,4.65,4.58,4.63,4.58,4.61,5.0,5.0,5.0,5.0,5.0,5.0,0.03979949748426482,0.05,0.03549647869859768,0.05,0.03888444419044716,0.05,0.03649657518178932,0.05,0.03888444419044716,0.05,0.03746998799039038,0.05,3995.9690461197815,3995.9690461197815,-0.049009771601482746,-0.049970151072658106,-0.04712155825417965,-0.046071008454834445,-0.047986759947007865,-0.04829028921061098
1,4.53,4.61,4.54,4.58,4.55,4.56,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,0.07989984479471984,0.09995000000000001,0.0720002955677333,0.09995000000000001,0.07857100341248852,0.09995000000000001,0.0744198137797757,0.09995000000000001,0.07810940154261026,0.09995000000000001,0.07629561841324961,0.09995000000000001,4013.5264375846327,8009.495483704414,-0.2575475510996579,-0.23893886561310596,-0.2532133744177392,-0.2423779783230825,-0.2516324184246773,-0.24948943523358172
2,4.53,4.6,4.54,4.58,4.54,4.56,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,0.11889304729185006,0.14985005,0.10794261459924742,0.14985005,0.11715335862034776,0.14985005,0.1112520980752667,0.14985005,0.11671427381405836,0.14985005,0.1140233661320974,0.14985005,4008.5311975827635,12018.026681287178,-0.6242149990529936,-0.5792003769743985,-0.6157590468391958,-0.5884368979313257,-0.6166240077940106,-0.6037916256188476
3,4.54,4.61,4.54,4.58,4.54,4.56,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,0.15627046615675347,0.19970019995,0.1422461484084589,0.19970019995,0.15461940204263552,0.19970019995,0.14698100985635343,0.19970019995,0.154202652388291,0.19970019995,0.15064097083992736,0.19970019995,3993.0546316509544,16011.081312938131,-1.230372708595021,-1.1386180388304095,-1.228484678057427,-1.17445399995472,-1.2293493734977445,-1.203162803005723
4,4.55,4.61,4.54,4.58,4.54,4.56,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,0.1919918973433776,0.24950049975005,0.1754439952508628,0.24950049975005,0.190955923849626,0.24950049975005,0.18159295770748168,0.24950049975005,0.1905613312484948,0.24950049975005,0.18613503598248507,0.24950049975005,3967.0923364418354,19978.173649379965,-2.2142286882132867,-2.0725207916754957,-2.2361187636029602,-2.139956040401955,-2.2369831231624233,-2.189730675035808
5,4.54,4.61,4.54,4.58,4.54,4.57,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,0.22712663068797134,0.29925099925029996,0.20752081254031074,0.29925099925029996,0.22614844140063922,0.29925099925029996,0.21507298709497824,0.29925099925029996,0.22577583252865152,0.29925099925029996,0.21992416253616193,0.29925099925029996,3924.340935028108,23902.514584408073,-3.8609975055686196,-3.5815175992191044,-3.8591093996536117,-3.6978073400867584,-3.8599733819863338,-3.7400885027929567
6,4.55,4.62,4.54,4.59,4.53,4.56,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,0.2605196632490678,0.34895174825104963,0.237812779758688,0.34895174825104963,0.2601809887905777,0.34895174825104963,0.24678908357882479,0.34895174825104963,0.2604003093714933,0.34895174825104963,0.25315954175118716,0.34895174825104963,3854.087871218821,27756.602455626893,-6.3633718567009465,-5.9107203029136235,-6.426285681618886,-6.101226688300957,-6.491951085329011,-6.2978498266335725
7,4.54,4.61,4.54,4.58,4.54,4.56,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,0.2933536052528635,0.39860279650279856,0.267638861231832,0.39860279650279856,0.2930358539415209,0.39860279650279856,0.2779939794005845,0.39860279650279856,0.293241626633931,0.39860279650279856,0.285222088436936,0.39860279650279856,3745.3659236362064,31501.9683792631,-10.413697161858236,-9.70275252969153,-10.411809136668118,-10.003955816490732,-10.412672252335607,-10.209574939837744
8,4.55,4.6,4.54,4.58,4.53,4.56,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,0.32433847095525026,0.4482041937062958,0.2969977804931237,0.4482041937062958,0.32469324508070296,0.4482041937062958,0.3080109160875776,0.4482041937062958,0.3255222920701154,0.4482041937062958,0.31609157423764306,0.4482041937062958,3579.5265373770144,35081.49491664011,-16.308099412230977,-15.531485812181932,-16.461726505611296,-15.83861660758889,-16.618104155462973,-16.151863586383378
9,4.55,4.6,4.54,4.58,4.54,4.56,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,0.3541072967182638,0.4977559895125895,0.32514855165662415,0.4977559895125895,0.35513086010420164,0.4977559895125895,0.3368164063188939,0.4977559895125895,0.35590223310312613,0.4977559895125895,0.34574513754264985,0.4977559895125895,3339.6288913650637,38421.12380800518,-25.14371496590299,-23.98648521330891,-25.37346553065233,-24.445862242604896,-25.374327593651135,-24.911355357389244
