,System 1,System 2,System 3,System 4,System 5,System 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,M1 STA,DM1 STA,M2 STA,DM2 STA,M3 STA,DM3 STA,M4 STA,DM4 STA,M5 STA,DM5 STA,M6 STA,DM6 STA,LQR Value function,LQR Integral value function,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6
0,4.7,4.7,4.79,4.8,4.68,4.77,5.0,5.0,5.0,5.0,5.0,5.0,0.03286335345030996,0.05,0.03286335345030996,0.05,0.027495454169735038,0.05,0.02683281572999749,0.05,0.03394112549695429,0.05,0.028774989139876347,0.05,3942.132737663581,3942.132737663581,-0.04661063689214221,-0.0486022489607884,-0.04773009921311179,-0.04913742255325002,-0.04618643019970986,-0.0474975743900148
1,4.65,4.66,4.75,4.75,4.64,4.72,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,0.067452497034864,0.09995000000000001,0.06692083629152126,0.09995000000000001,0.05666701436008588,0.09995000000000001,0.056046569082095446,0.09995000000000001,0.06899665355080872,0.09995000000000001,0.05969337278655634,0.09995000000000001,3954.9319452931372,7897.064682956718,-0.22579446157969948,-0.22533961985913015,-0.20245204271766865,-0.20385915107053357,-0.22781712600895782,-0.20955820399187766
2,4.68,4.66,4.76,4.76,4.65,4.73,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,0.09927806565838958,0.14985005,0.09992090094914627,0.14985005,0.08416615327964129,0.14985005,0.08358834929979603,0.14985005,0.10243639687251896,0.14985005,0.08895883023630904,0.14985005,3944.732766403437,11841.797449360154,-0.5232975434410497,-0.5384247758233919,-0.4718738947271931,-0.4732806804125544,-0.5425779333460398,-0.4913448329860893
3,4.69,4.67,4.75,4.76,4.64,4.72,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,0.12942544212648494,0.19970019995,0.1312551140524627,0.19970019995,0.11136535227428887,0.19970019995,0.11012176736226117,0.19970019995,0.13537745056159445,0.19970019995,0.11785665318861063,0.19970019995,3933.2303935150526,15775.027842875206,-1.0292978732151765,-1.0577795651606992,-0.9509473905926553,-0.939108833592498,-1.09510037587118,-0.9904494833289168
4,4.68,4.66,4.76,4.76,4.65,4.72,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,0.15915955588360386,0.24950049975005,0.16213735756605738,0.24950049975005,0.1367788494058999,0.24950049975005,0.13563145700936902,0.24950049975005,0.16661792235031403,0.24950049975005,0.14570099708377088,0.24950049975005,3911.6903549106446,19686.71819778585,-1.902714179711582,-1.9522622353500299,-1.7136096489502979,-1.7150158993524052,-1.973626293105073,-1.8084886721689428
5,4.68,4.67,4.76,4.76,4.64,4.72,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,0.18780354233640087,0.29925099925029996,0.19125451532925816,0.29925099925029996,0.16115272514204595,0.29925099925029996,0.16010009194438396,0.29925099925029996,0.1973939484168459,0.29925099925029996,0.17247506505732632,0.29925099925029996,3874.7753477231477,23561.493545508998,-3.2977166965355984,-3.3397718262312424,-2.978333876192007,-2.9797398049532973,-3.457547119263514,-3.1383519137852995
6,4.69,4.66,4.76,4.75,4.64,4.73,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,0.21460024773496472,0.34895174825104963,0.21996315413176235,0.34895174825104963,0.184467220729488,0.34895174825104963,0.18436491736329136,0.34895174825104963,0.22704219373203,0.34895174825104963,0.19735861130424615,0.34895174825104963,3814.219236379767,27375.712781888764,-5.45374752013374,-5.65014549218969,-5.0012567008953654,-5.067463996178619,-5.777335955841621,-5.19542770429548
7,4.69,4.65,4.76,4.75,4.65,4.72,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,0.24027522336297136,0.39860279650279856,0.24826181457665455,0.39860279650279856,0.20669954002934954,0.39860279650279856,0.20753485800579263,0.39860279650279856,0.2548193913408905,0.39860279650279856,0.2220010045341369,0.39860279650279856,3718.6300820177694,31094.34286390653,-8.885785135666112,-9.294581635418398,-8.17500196307291,-8.278107869160896,-9.292169182316009,-8.581570414462018
8,4.68,4.66,4.77,4.75,4.64,4.73,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,0.2656530329436273,0.4482041937062958,0.27460918387966193,0.4482041937062958,0.2267521085461791,0.4482041937062958,0.22958385188239355,0.4482041937062958,0.28220618864884556,0.4482041937062958,0.24457282431753094,0.4482041937062958,3572.845677201338,34667.18854110787,-14.284004557964607,-14.597028342245263,-12.885493144570663,-13.197927832540515,-14.905646879857494,-13.50731774668987
9,4.69,4.67,4.75,4.76,4.64,4.73,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,0.28892715419314674,0.4977559895125895,0.29889035616436216,0.4977559895125895,0.2479555690718456,0.4977559895125895,0.24936197304421442,0.4977559895125895,0.30839706351800444,0.4977559895125895,0.2659883583155554,0.4977559895125895,3360.4683884658634,38027.656929573735,-21.898378201912806,-22.363649399021043,-20.5096734010499,-20.27943900547535,-23.056154470903774,-20.97271398033483
10,4.69,4.66,4.75,4.76,4.64,4.72,5.062821518156257,5.062821518156257,5.062821518156257,5.062821518156257,5.062821518156257,5.062821518156257,0.31099450122102246,0.5472582335230769,0.3229120395111774,0.5472582335230769,0.267966450069169,0.5472582335230769,0.2679629631294965,0.5472582335230769,0.33336223671366444,0.5472582335230769,0.2873312068756892,0.5472582335230769,3067.3272949528873,41094.98422452662,-32.94012988001589,-33.94643117611529,-30.932644855726288,-30.599279345759356,-34.613560679418576,-31.93671413702188
