,System 1,System 2,System 3,System 4,System 5,System 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,M1 STA,DM1 STA,M2 STA,DM2 STA,M3 STA,DM3 STA,M4 STA,DM4 STA,M5 STA,DM5 STA,M6 STA,DM6 STA,LQR Value function,LQR Integral value function,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6
0,4.71,4.81,4.77,4.81,4.67,4.75,5.0,5.0,5.0,5.0,5.0,5.0,0.03231098884280703,0.05,0.02615339366124407,0.05,0.028774989139876347,0.05,0.02615339366124407,0.05,0.03446737587922818,0.05,0.03,0.05,3208.9576662813242,3208.9576662813242,-29.508628906036076,-19.506129477199305,-23.50712924873403,-19.506129477199305,-33.5096286775708,-25.50762913450135
1,4.66,4.76,4.8,4.75,4.64,4.71,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,0.0663986104842392,0.09995000000000001,0.054778034443198134,0.09995000000000001,0.05452524635125357,0.09995000000000001,0.05541034664472454,0.09995000000000001,0.0694949813105912,0.09995000000000001,0.06143157989990715,0.09995000000000001,3100.8642755583382,6309.821941839662,-35.63923234296445,-25.636732914127684,-21.635733142592958,-26.636982857011343,-37.63973222873185,-30.63798262854607
2,4.75,4.73,4.74,4.84,4.63,4.82,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,0.09390620413247483,0.14985005,0.0843590570175366,0.14985005,0.08348714009481821,0.14985005,0.0768912663512067,0.14985005,0.10399665152232541,0.14985005,0.08409716425976338,0.14985005,3150.4361118211145,9460.258053660777,-27.765829497549387,-29.766329383316705,-28.766079440433046,-18.763580011596275,-39.768828812153565,-20.764079897363594
3,4.79,4.73,4.73,4.83,4.63,4.79,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,0.11735155753146141,0.19970019995,0.11290555536985339,0.19970019995,0.11209229307145373,0.19970019995,0.09838895184129293,0.19970019995,0.13741410731527978,0.19970019995,0.10833934903355595,0.19970019995,3118.1529721821917,12578.411025842968,-24.893163582731322,-30.894663240033367,-30.894663240033367,-20.892163811196596,-40.89716266887023,-24.893163582731322
4,4.82,4.74,4.78,4.72,4.64,4.82,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,0.137007874703919,0.24950049975005,0.13968976201110248,0.24950049975005,0.13586197447198284,0.24950049975005,0.1275689735866616,0.24950049975005,0.16913645966129787,0.24950049975005,0.12889492976493058,0.24950049975005,3098.7222618382043,15677.133287681172,-23.02022912474754,-31.022228667816993,-27.021228896282267,-33.0227285535844,-41.02472809665385,-23.02022912474754
5,4.83,4.73,4.74,4.82,4.65,4.82,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,0.15459296398874708,0.29925099925029996,0.1661740959047375,0.29925099925029996,0.16188521639072193,0.29925099925029996,0.14731007876056007,0.29925099925029996,0.19910652161953615,0.29925099925029996,0.14849678575477113,0.29925099925029996,3100.017623208101,18777.15091088927,-23.14727036393688,-33.149769792773654,-32.14951984988999,-24.14752030682054,-41.15176933584311,-24.14752030682054
6,4.82,4.75,4.81,4.71,4.65,4.8,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,0.17250317664836706,0.34895174825104963,0.18991650267265106,0.34895174825104963,0.1801081115303752,0.34895174825104963,0.17563845905691808,0.34895174825104963,0.22795611990318168,0.34895174825104963,0.1692606297987166,0.34895174825104963,3053.3676385736917,21830.518549462962,-25.27428159749958,-32.27603119768537,-26.27453154038333,-36.2770309692201,-42.27853062652214,-27.274781483266988
7,4.67,4.77,4.86,4.76,4.81,4.69,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,0.20275180939672008,0.39860279650279856,0.2106121979912908,0.39860279650279856,0.18715038928326827,0.39860279650279856,0.1987013900895475,0.39860279650279856,0.2358740184759344,0.39860279650279856,0.1983681943936231,0.39860279650279856,3036.0326808098725,24866.551230272835,-41.40425643704681,-31.40175700821004,-22.39950752225684,-32.402006951093696,-27.400757236675314,-39.40375655127941
8,4.75,4.78,4.86,4.76,4.74,4.66,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,0.22527088479774887,0.4482041937062958,0.22904137690720439,0.4482041937062958,0.19429520256853633,0.4482041937062958,0.2206439275657578,0.4482041937062958,0.255988469556145,0.4482041937062958,0.22843914138969765,0.4482041937062958,3005.933828924537,27872.485059197374,-34.527941292757674,-31.527191464106604,-23.525191921037152,-33.52769134987402,-35.52819123564134,-43.53019077871079
9,4.79,4.79,4.9,4.76,4.75,4.71,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,0.24171670402754097,0.4977559895125895,0.24491328980372074,0.4977559895125895,0.18692470550300824,0.3977559895125895,0.24143499409913172,0.4977559895125895,0.27370487477384153,0.4977559895125895,0.25331232642515106,0.4977559895125895,3042.8253755846013,30915.310434781975,-31.65207891929707,-31.65207891929707,-19.646568422757884,-34.652828747948135,-35.6530786908318,-39.65407846236653
