,System 1,System 2,System 3,System 4,System 5,System 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,M1 STA,DM1 STA,M2 STA,DM2 STA,M3 STA,DM3 STA,M4 STA,DM4 STA,M5 STA,DM5 STA,M6 STA,DM6 STA,LQR Value function,LQR Integral value function,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6
0,4.81,4.7,4.77,4.74,4.76,4.75,5.0,5.0,5.0,5.0,5.0,5.0,0.02615339366124407,0.05,0.03286335345030996,0.05,0.028774989139876347,0.05,0.0305941170815567,0.05,0.029393876913398148,0.05,0.03,0.05,3211.2682159444016,3211.2682159444016,-19.506129477199305,-30.508878848919736,-23.50712924873403,-26.50787907738501,-24.50737919161769,-25.50762913450135
1,4.77,4.66,4.73,4.68,4.79,4.71,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,5.00628317497176,0.05413118930618194,0.09995000000000001,0.06692083629152126,0.09995000000000001,0.05909633088408909,0.09995000000000001,0.06368990199134128,0.09995000000000001,0.0558028999698695,0.09995000000000001,0.06143157989990715,0.09995000000000001,3107.495576690915,6318.763792635316,-24.636482971244025,-35.63923234296445,-28.637482742778662,-33.63873245719713,-22.635983085476617,-30.63798262854607
2,4.77,4.66,4.71,4.69,4.78,4.7,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,5.012566287931118,0.0811220251898574,0.14985005,0.09992090094914627,0.14985005,0.08964233951863854,0.14985005,0.09515364993950932,0.14985005,0.08197253999896559,0.14985005,0.092437653722966,0.14985005,3067.8618369677424,9386.625629603059,-25.765329611782068,-36.7680789835025,-31.766829269084113,-33.76732915485143,-24.76507966889832,-32.76707921196777
3,4.79,4.75,4.65,4.69,4.8,4.7,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,5.018849276866288,0.10560058546515531,0.19970019995,0.1259800189304326,0.19970019995,0.12275521910308967,0.19970019995,0.12556224212444675,0.19970019995,0.10558718167888345,0.19970019995,0.12239335480365779,0.19970019995,3069.4061608050574,12456.031790408117,-24.893163582731322,-28.89416335426605,-38.89666278310282,-34.89566301156809,-23.892913639847663,-33.89541306868443
4,4.77,4.68,4.72,4.69,4.79,4.71,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,5.025132079766705,0.13069356827972364,0.24950049975005,0.15593924873938778,0.24950049975005,0.1502528282387478,0.24950049975005,0.15490096087906063,0.24950049975005,0.12907400418251033,0.24950049975005,0.15060917469360577,0.24950049975005,3033.3549875088906,15489.386777917007,-28.021478839166015,-37.02372832511913,-33.0227285535844,-36.02347838223538,-26.020978953398608,-34.02297849646806
5,4.78,4.72,4.72,4.68,4.85,4.71,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,5.0314146346236415,0.15390484204972932,0.29925099925029996,0.18193653481815922,0.29925099925029996,0.17668455827958196,0.29925099925029996,0.1838389826063678,0.29925099925029996,0.14516678002772612,0.29925099925029996,0.17775074083377201,0.29925099925029996,3047.618291949739,18537.005069866747,-28.148520078355265,-34.1500197356574,-34.1500197356574,-38.151019507192125,-21.14677047816956,-35.150269678541065
6,4.8,4.75,4.67,4.68,4.83,4.72,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,5.037696879430817,0.1741115597796172,0.34895174825104963,0.20425959762511897,0.34895174825104963,0.20572335753723825,0.34895174825104963,0.21166541587766616,0.34895174825104963,0.16301773473380937,0.34895174825104963,0.20301112547101163,0.34895174825104963,3018.145772738009,21555.150842604755,-27.274781483266988,-32.27603119768537,-40.27803074075482,-39.27778079787116,-24.27403165461592,-35.27678102633644
7,4.82,4.81,4.72,4.83,4.65,4.74,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,5.04397875218501,0.19082554371120464,0.39860279650279856,0.21788840211721844,0.39860279650279856,0.22964012092821828,0.39860279650279856,0.21782909723697014,0.39860279650279856,0.1951792767535218,0.39860279650279856,0.22536287392382304,0.39860279650279856,3039.8177709047545,24594.96861350951,-26.400507293791566,-27.400757236675314,-36.40300672262842,-25.400257350907907,-43.40475632281413,-34.402506836861015
8,4.81,4.77,4.74,4.81,4.69,4.83,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,5.050260190886675,0.2079610883257223,0.4482041937062958,0.23664114843406323,0.4482041937062958,0.25043271292261055,0.4482041937062958,0.23058350426721427,0.4482041937062958,0.22334821582802938,0.4482041937062958,0.22483755500495553,0.3482041937062958,3047.109622935492,27642.078236445002,-28.526441635455626,-32.527441406990356,-35.52819123564134,-28.526441635455626,-40.529440950059715,-25.523180624869553
9,4.82,4.78,4.75,4.83,4.69,4.78,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,5.056541133540547,0.22237854941841012,0.4977559895125895,0.25287153759912956,0.4977559895125895,0.2688766518018275,0.4977559895125895,0.23102018425087262,0.3977559895125895,0.25031141359064474,0.4977559895125895,0.24173781193137206,0.3978559895125895,3025.2397473935252,30667.317983838526,-28.651329090646,-32.65232886218073,-35.6530786908318,-26.648318022943677,-41.654578348133846,-31.65057049848688
